Time,Elapsed Time,Temperature,Step,Flow_A,Flow_B,Cumulative Flow,Pressure_A,Pressure_B,Event,residence_time
2026-02-18 19:44:34,1.0006538833333334,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:44:41,1.1312895833333334,25.2,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:45:01,1.4649282333333333,25.7,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:45:21,1.7981969666666666,26.2,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:45:34,2.00081255,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:45:41,2.1317340666666666,26.8,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:46:01,2.4653015000000003,27.4,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:46:21,2.798618333333333,28.0,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:46:34,3.0011276666666666,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:46:41,3.131852483333333,28.7,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:47:01,3.4652417666666664,29.2,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:47:21,3.79849845,29.8,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:47:34,4.000988133333333,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:47:41,4.131677566666666,30.4,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:48:01,4.465386816666666,31.0,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:48:21,4.799004616666666,31.6,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:48:34,5.001062200000001,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:48:41,5.132325216666667,32.0,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:49:01,5.46530265,32.6,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:49:21,5.799204666666666,33.1,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:49:34,6.001027716666667,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:49:41,6.132508683333333,33.5,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:50:01,6.466113533333333,34.0,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:50:21,6.799439366666666,34.4,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:50:34,7.0010334499999995,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:50:41,7.1332581500000005,34.8,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:51:01,7.466566983333333,35.1,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:51:21,7.800155683333333,35.5,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:51:34,8.00108835,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:51:41,8.133462383333333,35.8,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:52:01,8.4670336,36.1,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:52:21,8.800256916666665,36.4,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:52:34,9.0010923,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:52:41,9.133941766666668,36.7,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:53:01,9.467250966666667,36.9,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:53:21,9.80081775,37.2,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:53:34,10.001359449999999,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:53:41,10.13407935,37.4,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:54:01,10.467412983333332,37.6,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:54:21,10.800758400000001,37.8,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:54:34,11.001212116666666,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:54:41,11.134073466666667,37.9,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:55:01,11.467674333333333,38.1,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:55:21,11.801209666666667,38.3,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:55:34,12.001454883333334,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:55:41,12.134799766666667,38.4,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 19:56:01,12.468081399999999,38.5,,0.0,0.0,0.0,0.0,0.0,,
