Time,Elapsed Time,Temperature,Step,Flow_A,Flow_B,Cumulative Flow,Pressure_A,Pressure_B,Event,residence_time
2026-02-18 22:26:00,0.63,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:26:20,0.96,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:26:23,1.0,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:26:40,1.3,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:27:00,1.63,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:27:20,1.96,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:27:23,2.0,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:27:40,2.3,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:28:00,2.63,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:28:20,2.96,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:28:23,3.0,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:28:40,3.3,,,2.0,2.0,4.0,0.0,0.0,,
2026-02-18 22:29:00,3.63,,,2.0,2.0,4.0,0.0,0.0,,
