Time,Elapsed Time,Temperature,Step,Flow_A,Flow_B,Cumulative Flow,Pressure_A,Pressure_B,Event,residence_time
2026-02-18 22:03:40,0.64,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:04:00,0.97,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:04:20,1.31,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:04:40,1.64,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:05:00,1.97,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:05:20,2.31,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:05:40,2.64,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:06:00,2.97,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:06:20,3.31,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:06:40,3.64,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:07:00,3.97,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:07:20,4.31,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:07:40,4.64,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:08:00,4.97,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:08:20,5.31,,,1.0,0.0,1.0,0.0,0.0,,
2026-02-18 22:08:40,5.64,,,1.0,0.0,1.0,0.0,0.0,,
