Time,Elapsed Time,Temperature,Step,Flow_A,Flow_B,Cumulative Flow,Pressure_A,Pressure_B,Event,residence_time
2026-02-18 21:19:52,0.4492316833333333,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:20:12,0.7829177166666667,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:20:25,1.0002024166666665,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:20:32,1.1164038666666667,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:20:52,1.44999435,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:21:12,1.7832947166666666,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:21:25,2.0003882166666664,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:21:32,2.11690945,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:21:52,2.4506945333333334,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:22:12,2.7840919,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:22:25,3.000415316666667,,,0.0,0.0,0.0,0.0,0.0,,
2026-02-18 21:22:32,3.1177215499999997,,,0.0,0.0,0.0,0.0,0.0,,
